BB Name,BB Tags(s),Functional Clusters,Layer,Known Implementation,ID (unique name),Description,Rationale,Governance Applicable S-BB(s),Compose BB(s),What is needed to Design and Implement,What is needed to build and run,Non-Functional Requirements,Dependencies to other Clusters,Vehicle API Relevant,Author/Company,Priority,Related Project(s),Availability of Source Code,Availability of API,Potential obstacles,Maturity Badges,Expert Discussion Status,What is needed to design and implement,Dependencies to other clusters,Vehicle API relevant,Author/Company + Prio,Related project(s),Availability of code,Reference to FEDERATE SDV repository - Open Toolchain(s),Availability of Code,Availability of Api
Car Simulator,BB-CEST,Not Specified,Not Specified,Eclipse SDV - kanto.auto (old) will be published under a new name Eclipse OpenDUT [Carla](https://carla.org/),,"Based on the W3C VISSv2 standardized interface the car simulator can act as a car and simulate VISSv2 related interfaces.   The simulator is able to create, provide and replay recorded data as well as simulate static data on the published VISSv2 based interfaces.   The solution should be able to publish data via standard transport protocols supported by the VISSv2 standard enabling get, set, sub, pub, e.g. MQTT, WS.   The car simulator offers an UI to configure data of the loaded VSS data model. Within the UI car related data can be manipulated or routes with changing data can be simulated.   The car simulator should support the whole VSS data model and data types and the interfaces should support the W3C standard of VISSv2.   The application should run locally as well as on a dedicated server based on newest web technologies",Based on a standardized interface and data model the car simulator is able to manipulate and simulate data for services consuming data of the underlying VSS based data infrastructure.   This enables developers to simulate states without a physical car as well as quality and test engineers to verify failures and fixes based on recorded standardized data.,CARLA,,"BB Reference implementation, extension of a Car Simulator support VSSv2 and VSS data model",,,,,Anonymous,,,,,,,,,,,,,,,,
RemotiveCloud,BB-CEST; BB-CSC-TC,Diagnostics (could also be used for feeding vehicle data to emulators and other prototyping tools),Not Specified,https://cloud.remotivelabs.com/,,"RemotiveCloud - for sharing vehicle recordings, both for debugging purposes as well as for prototyping (feed data into e.g. ProtoPie and Android AAOS / AOSP emulators). The recordings can be made with the RemotiveBroker or some other logging devices following standard formats.",RemotiveCloud enables an easy way of sharing recordings - upload to cloud and share with relevant people as suppliers and service providers to have a common place for vehicle network data (CAN etc.) for debugging and 3rd party application developers.,None,None,"Nothing, create an account and get going (there is a free tier available).",Nothing in addition to an account.,None,None,"Yes, the output can be made in COVESA VSS / VISS format - both to make it easy for 3rd parties as well as to hide OEM proprietary info",Emil Dautovic / RemotiveLabs,,"Yes, part of Playground under the COVESA umbrella.  No active role in FEDERATE yet but there should be a good fit under WP2 projects where there is a need to collaborate in an easy way when it comes to vehicle data (from a test rig or an actual vehicle) for both debugging as well as prototyping purposes (either OEM propritary format or COVESA VSS).",The core RemotiveLabs components are Commercial Closed Source but reference integrations are available as source code https://github.com/remotivelabs,https://docs.remotivelabs.com/docs/category/remotivecloud,,,,,,,,,,,,
Digital Twin proxy in cloud,BB-CMU,Not specified,Not specified,Eclipse Ditto,,"The digital twin is considered as a digital representation of a vehicle (or the vehicle's configuration) as prerequisite for validation and test of SW variants prior to their deployment to a live vehicle.   Proposal for standardization are execution model with regard to simulation level (Prostep standardization <https://www.prostep.org/>), handling of distributed simulation, co-simulation bus and services for controller including services to extract and inject data, extract and inject algorithm dynamically (or static) during simulation, services to guarantee at least software alignment between digital and vehicle.   Defines embed service services to ensure connection with digital twin.  ***  A digital twin is a virtual representation of real-world entities and processes, synchronized at a specified frequency and fidelity.  - Digital twin systems transform business by accelerating holistic understanding, optimal decision-making, and effective action.  - Digital twins use real-time and historical data to represent the past and present and simulate predicted futures.  - Digital twins are motivated by outcomes, tailored to use cases, powered by integration, built on data, guided by domain knowledge, and implemented in IT/OT systems.  The foundational elements of the definition are captured in the first sentence: the virtual representation, the real-world entities and processes it represents, and the mechanism by which the virtual and real-world entities are synchronized.  Source: https://www.digitaltwinconsortium.org/2020/12/digital-twin-consortium-defines-digital-twin/ Digital Twin Consortium is part of the Object Management Group®.","Enables rapid prototyping, validation, and test of vehicle configurations. In scope of OTA updates, validating as many SW variants as possible (all?) to ensure the error-prone deployment of SW updates to the live fleet. Cost saving by eliminating HIL tests with a huge amount of variants.",TDB,,,,,,,Conti,High,,,,,,,,,,,,,,,
Active diagnostics and repair services,BB-CSC,Not specified,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
App/Services store,BB-CSC,Not specified,Not specified,,,App/Services store with cross-vendor-support but independent of hyper scalers,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud contaier and OS,BB-CSC,Not specified,Not specified,- Blackberry QNX - OxidOS - Eclipse ThreadX - RedHat In-Vehicle OS (announced),,Container and OS which support executing of mixed-criticality vehicle SW,,,,,,,,,,,,,,,,,,,,,,,,,
Config and settings collector,BB-CSC,Not specified,Not specified,,,Collects config and settings data across different SW Apps and other BBs; to transfer it to a backup location (e.g. cloud),,,,,,,,,,,,,,,,,,,,,,,,,
Data manager ensuring compliance with regulation,BB-CSC,Not specified,Not specified,,,"EC data act, EC AI act,… Includes authentication, access control, reporting, potentially also data sharing ""for money""",,,,,,,,,,,,,,,,,,,,,,,,,
Data Spaces,BB-CSC,Not specified,Not specified,- Catena-X,,Data spaces supporting middleware components  and APIs,,,,,,,,,,,,,,,,,,,,,,,,,
Driver authentication,BB-CSC,Not specified,Not specified,,,In-vehicle driver authentication without the need for a mobile device,,,,,,,,,,,,,,,,,,,,,,,,,
